# Mapping from raw conference affiliation strings to canonical short names.
# Auto-generated. 20 unique affiliation strings -> 20 canonical short names.
# Format: <raw_affiliation>\t<canonical_short_name>

C2N	C2N Paris-Saclay
CNRS - Université Montpellier	IES Montpellier
CNST@PoliMi	CNST@PoliMi
EMPA	EMPA
EPFL	EPFL
ETH Zürich	ETH Zürich
Harvard University	Harvard
IEMN	IEMN
INO	CNR-INO
IR Sweep	IR Sweep
NTU	NTU Singapore
Nanoplus GmbH	Nanoplus
SNS Nest	SNS Nest
Shanghai Institute of Technical Physics	Shanghai Institute of Technical Physics
TUW	TU Vienna
Technion	Technion
UCLA	UCLA
Univ. Texas at Austin	UT Austin
Univ. of Southampton	Southampton
Univ. of Waterloo	Waterloo
